42 54 0,628042502492914

119 59 0,776446020148161

121 71 0,969571859932183

47 80 0,819383062949088

38 84 0,862323713614236

61 95 0,710898104752298

61 95 0,738609445919953

96 96 0,705077606067246

96 96 0,695613004333974

28 104 0,774969698585131

91 107 0,725395908831755

45 108 0,77474532044672

107 114 0,622119622436332

109 117 0,771104493389792

103 118 0,870946936373263

117 123 0,681192061576123

56 12 0,953333334229406

111 14 0,746404137527042

40 18 0,606447959914444

58 20 0,638699991642207

96 23 0,903674526907121

72 38 0,843178917411615

62 57 0,522977581386206

116 58 0,730988365713157

55 60 0,875707976281597

81 66 0,670285397344873

16 77 0,865289562962464

43 79 0,884382043713287

76 93 0,547652627104756

105 96 0,476149595574337

33 102 0,691427737103887

54 106 0,694240662763399

120 123 0,862189096799128

5 126 0,657832529255278

80 4 0,864472265930792

4 18 0,973521600685415

4 18 0,969632974908436

57 39 0,76444683367855

69 45 0,924492561812628

75 45 0,786390125960715

69 50 0,860954322432919

76 51 0,841884325872998

72 55 0,773407363447813

42 58 0,831416498272445

70 63 0,648984487379552

51 66 0,930048733768714

68 82 0,843297283936014

76 84 0,576258942847963

80 4 0,877673709276526

86 23 0,419664734924239

36 46 0,883926571951199

86 51 0,746442991509681

72 55 0,750757077788187

82 58 0,897742935128967

57 64 0,750349567463763

63 65 0,891902477253556

34 66 0,814258388604301

101 75 0,801784971235011

24 88 0,824374235569967

39 88 0,821454650253107

69 88 0,895801301362039

73 94 0,84259917665872

80 94 0,799171485922504

87 23 0,896952245914564

93 27 0,874342635224139

3 40 0,930901584447153

62 59 0,772711156724475

36 76 0,682611908567646

108 100 0,849712805322123

87 5 0,893865317352031

100 32 0,63480339964961

112 49 0,827702496291955

85 66 0,640495871359213

65 73 0,841116097303374

65 73 0,844817681044211

37 78 0,718639830212765

60 86 0,81750776052831

97 90 0,850072694739122

116 95 0,712786753612102

116 95 0,739907191482753

84 105 0,785838416715806

41 106 0,687893945136549

41 106 0,678531791882955

32 108 0,723906615404926

110 109 0,76162183659266

46 118 0,679411292653161

108 61 0,885848550120957

98 90 0,827318798214106

22 96 0,865328026176576

98 119 0,663871080228564

111 28 0,773962532404072

111 28 0,772384284940116

60 48 0,718490464523382

60 48 0,763225503165055

85 92 0,820570902532991

